Material,Application,TML_Pct,WVR_Pct,CVCM_Pct,RML_Pct,Year,SpaceX_Classification,Data_Ref,Manufacturer,Time_1,Temp_1,ATM_1,Time_2,Temp_2,ATM_2,Time_3,Temp_3,ATM_3,Time_4,Temp_4,ATM_4,Raw_Application
KAPTON 4-8374/79 TUBING W/ADH,Tubing Insul,0.52,0,0.02,0.15,1992,Pass,GSFC20628,SPT,,,,,,,,,,,,,TUBING INSUL
KAPTON BLACK 100A-CO9 FILM,Film,0.50,0,0.02,0.20,1984,Pass,GSFC14097,DUP,,,,,,,,,,,,,FILM
KAPTON BLACK 275XC230 CARBON FILLED,Film,1.18,1,0.00,0.15,1991,Pass,GSFC19603,DUP,,,,,,,,,,,,,FILM
KAPTON BLACK BETA CLOTH 1070 RCA 2308434-2,Film,0.53,0,0.06,0.30,1988,Pass,GSFC17594,NMC,,,,,,,,,,,,,FILM
KAPTON BLACK FIBERGLASS SUPPORTED FIRE RETARD ADH,Film,1.20,0,0.65,1.15,1985,Rationale Code B (up to 0.25 sq-in),GSFC14683,NMC,,,,,,,,,,,,,FILM
KAPTON BLACK GLASS CLOTH E1070 RCA 2308434-2,Film,0.26,0,0.02,0.12,1988,Pass,GSFC17596,NMC,,,,,,,,,,,,,FILM
KAPTON BLACK/ITO MODIFIED COATING,Thermal Blanket,0.74,0,0.00,0.06,1991,Pass,GSFC19923,DUP,,,,,,,,,,,,,THERM BLANKET
KAPTON CB BLACK OPAQUE SUBSTRATE POLYIMIDE FILM,Film,0.70,0,0.06,0.09,1998,Pass,GSFC25107,DUP,,,,,,,,,,,,,FILM
KAPTON COPPER CONDUCTOR GLED PLATED/ACRYLIC ADHESIVE,Circuit Assembly,0.58,0,0.01,0.32,2003,Pass,GSFC28387,KAD,,,,,,,,,,,,,CIRCUIT ASSEMBLY
KAPTON CR100,Film,1.31,1,0.00,0.09,2011,Pass,GSFC32908,DUP,,,,,,,,,,,,,FILM
KAPTON E SILICON COATED W/VDA BACKSIDE,Film,1.12,0,0.02,0.57,2001,Pass,GSFC27595,TRW,,,,,,,,,,,,,FILM
KAPTON FEP FILM 400F022,Film,0.31,,0.18,0.31,1970,Rationale Code B (up to 0.25 sq-in),GSFC02158,DUP,,,,,,,,,,,,,FILM
KAPTON FEP FILM 400F022,Film,0.25,,0.01,0.25,1970,Pass,GSFC02194,DUP,90M,302.0,AIR,,,,,,,,,,FILM
KAPTON FIBERGLASS SUPPORTED,Film,0.42,0,0.08,0.37,1985,Pass,GSFC14677,NMC,,,,,,,,,,,,,FILM
KAPTON FIBERGLASS SUPPORTED FIRE RETARD ADH,Film,1.43,0,0.71,1.41,1985,Rationale Code B (up to 0.25 sq-in),GSFC14680,NMC,,,,,,,,,,,,,FILM
KAPTON FILM,Film,0.97,0,0.00,0.17,1979,Pass,GSFC10365,DUP,,,,,,,,,,,,,FILM
KAPTON FILM 120F616 TEFLON BOTH SIDES,Thermal Blanket,0.90,0,0.02,0.01,1985,Pass,GSFC14406,DUP,,,,,,,,,,,,,THERM BLANKET
KAPTON FILM 200HPP-T,Film,1.32,1,0.00,0.16,2011,Pass,GSFC32629,DUP,,,,,,,,,,,,,FILM
KAPTON FILM 300MT,Film,0.96,0,0.00,0.08,2011,Pass,GSFC32632,DUP,,,,,,,,,,,,,FILM
KAPTON FILM W/MOD ACRYLIC ADH ONE SIDE,Dielectric,0.65,0,0.00,0.07,1978,Pass,GSFC09119,TEE,1H,190.0,AIR,,,,,,,,,,DIELECTRIC
KAPTON FILM/ALUMINIZED/CHEMGLAZE H322 BLACK PAINT,Thermal Blanket,1.21,0,0.03,1.05,1984,Rationale Code A (up to 2 sq-in),GSFC13688,APL,15M,150.0,AIR,12H,50.0,E-5,,,,,,,THERM BLANKET
KAPTON FILM/AMBER,Film,1.00,1,0.00,-0.07,2002,Pass,GSFC27817,DUP,,,,,,,,,,,,,FILM
KAPTON H FILM - ALUMINIZED W/MMM 467 ADH/F,Tape,0.80,0,0.04,0.50,1975,Pass,GSFC07022,MMM,24H,100.0,E-5,,,,,,,,,,TAPE
KAPTON H FILM 5 MIL,Film,0.77,,0.02,0.77,1972,Pass,GSFC03916,DUP,,,,,,,,,,,,,FILM
KAPTON H FILM FIBERGLAS REINFORCED,Insulation,0.46,,0.14,0.46,1972,Rationale Code B (up to 0.25 sq-in),GSFC03592,DUP,,,,,,,,,,,,,INSULATION
KAPTON H FILM REINF W/GLASS CLOTH 104,Thermal Control,0.42,,0.05,0.42,1973,Pass,GSFC05164,RCA,24H,150.0,AIR,,,,,,,,,,THERMAL CONTROL
KAPTON H FILM/3M 966/F,Tape,1.06,0,0.02,0.16,1987,Pass,GSFC16826,GTS,,,,,,,,,,,,,TAPE
KAPTON H FILM/LINOWEAVE BETA MARQUISETTE GLASS CLOTH,Insulation,0.13,,0.01,0.13,1973,Pass,GSFC05064,DUP,24H,150.0,AIR,,,,,,,,,,INSULATION
KAPTON H KHMR2-50GA TWO LAYER TUBES/G97MR ADH,Insulation,1.22,0,0.05,0.46,1988,Pass,GSFC17706,SPT,,,,,,,,,,,,,INSULATION
KAPTON H TUBING W/ADH,Tubing Insul,1.03,0,0.06,0.31,1992,Pass,GSFC20630,ZZZ,,,,,,,,,,,,,TUBING INSUL
KAPTON LABEL P25SD WITH INK,Label,0.93,0,0.16,0.44,2004,Rationale Code B (up to 0.25 sq-in),GSFC28690,HET,,,,,,,,,,,,,LABEL
KAPTON POLYIMIDE FILM W/CARBON 230 OHMS/SQ (275XC),Antistatic Film,1.04,0,0.00,0.12,1997,Pass,GSFC24369,DUP,,,,,,,,,,,,,ANTI-STATIC FILM
KAPTON POLYIMIDE FILM W/CARBON 370 OHMS/SQ (160XC),Antistatic Film,0.97,0,0.00,0.17,1997,Pass,GSFC24366,DUP,,,,,,,,,,,,,ANTI-STATIC FILM
KAPTON POLYIMIDE FILM W/NICKEL,Film,0.83,0,0.01,0.03,1997,Pass,GSFC24416,DUP,,,,,,,,,,,,,FILM
KAPTON POLYIMIDE TYPE HN,Film,1.24,1,0.00,0.08,2008,Pass,GSFC31063,GSFC,,,,,,,,,,,,,FILM
KAPTON SPIRAL WOUND TUBING 0.002 INCH WALL 0.16 INCH DIA,Tubing,1.39,0,0.04,0.59,1996,Pass,GSFC24138,ELI,,,,,,,,,,,,,TUBING
KAPTON T400-1/20 BRAND-REX,Wire Insul,0.51,,0.10,0.51,1968,Pass,GSFC00646,BRX,,,,,,,,,,,,,WIRE INSUL
KAPTON TAPE 603-1 SILICONE ADHESIVE/F,Tape,1.50,0,0.61,1.30,1977,Rationale Code B (up to 0.25 sq-in),GSFC08357,TFE,,,,,,,,,,,,,TAPE
KAPTON TAPE 603A KAPTON/ACRYLIC ADH/R,Tape,0.62,,0.12,0.62,1972,Rationale Code B (up to 0.25 sq-in),GSFC03590,TFE,,,,,,,,,,,,,TAPE
KAPTON TAPE 9321/ACRYLIC ADH/F,Tape,1.72,0,0.77,1.43,1994,Rationale Code B (up to 0.25 sq-in),GSFC22018,ITI,,,,,,,,,,,,,TAPE
"KAPTON TAPE IP423293, LOT#1081456, ACRYLIC ADHEISVE",Thermal Control Tape,1.07,0,0.02,0.46,2010,Pass,GSFC32140,SCH,,,,,,,,,,,,,THERMAL CONTROL TAPE
KAPTON TAPE WITH ACRYLIC ADHESIVE,Tape,0.81,0,0.00,0.09,2002,Pass,GSFC28021,ZZZ,,,,,,,,,,,,,TAPE
KAPTON TAPE/ACRYLIC ADH/F,Tape,0.53,0,0.02,0.38,1984,Pass,GSFC13567,ZZZ,,,,,,,,,,,,,TAPE
KAPTON TUBE,Bobbin,1.66,1,0.00,0.26,2011,Pass,GSFC32722,CNC,,,,,,,,,,,,,BOBBIN
KAPTON VN POLYIMIDE 0.05 MIL P/N 155597-001/F,Tape,0.73,0,0.20,0.56,1999,Rationale Code B (up to 0.25 sq-in),GSFC26617,GTS,,,,,,,,,,,,,TAPE
KAPTON VN WITH BS2094 POLYBUTY ADHESIVE/F,Tape,0.71,0,0.01,0.22,1999,Pass,GSFC26614,ILC,,,,,,,,,,,,,TAPE
KAPTON VN X SILICONE TAPE 1 MIL P/N 155562-001/F,Tape,0.79,0,0.20,0.63,1999,Rationale Code B (up to 0.25 sq-in),GSFC26620,GTS,,,,,,,,,,,,,TAPE
KAPTON XC POLYIMIDE CARBON FILLED,Thermal Blanket,1.29,0,0.02,0.74,1998,Pass,GSFC25966,DUP,,,,,,,,,,,,,THERMAL BLANKET
KAPTON XC POLYIMIDE FILM AL FILLED,Thermal Blanket,0.54,0,0.01,0.02,1998,Pass,GSFC25993,DUP,,,,,,,,,,,,,THERMAL BLANKET
"KAPTON, 0.5 MIL, PERFORATED, AL COATED ON 2 SIDES",Film,1.28,1,0.00,0.11,2010,Pass,GSFC31951,GTS,,,,,,,,,,,,,FILM
"KAPTON, 1.0 MIL, AL COATED ON 2 SIDES",Film,1.37,1,0.00,0.16,2010,Pass,GSFC31954,GTS,,,,,,,,,,,,,FILM
KAPTON-TEFLON FEP COATED T473-1/24 BRAND-REX,Wire Insul,0.52,,0.00,0.52,1968,Pass,GSFC00666,BRX,,,,,,,,,,,,,WIRE INSUL
KAPTON/ALUM/H322/9988 FILM COMPOSITE,Thermal Control,3.08,0,0.63,2.41,1983,Rationale Code B (up to 0.25 sq-in),GSFC13248,APL,15M,125.0,AIR,24H,125.0,AIR,,,,,,,THERMAL CONTROL
KAPTON/ALUM/H322/9988 FILM COMPOSITE,Thermal Control,2.15,0,0.22,1.54,1983,Rationale Code B (up to 0.25 sq-in),GSFC13251,APL,15M,125.0,AIR,24H,25.0,E-3,,,,,,,THERMAL CONTROL
KAPTON/ALUM/H322/9988 FILM COMPOSITE,Thermal Control,2.33,0,0.25,1.74,1983,Rationale Code B (up to 0.25 sq-in),GSFC13254,APL,15M,125.0,AIR,24H,25.0,AIR,,,,,,,THERMAL CONTROL
KAPTON/ALUMINIZED/CHEMGLAZE H322 FILM COMPOSITE,Thermal Control,5.01,0,0.03,4.35,1983,Rationale Code B (up to 0.25 sq-in),GSFC12808,APL,15M,125.0,AIR,,,,,,,,,,THERM CONTROL
KAPTON/ALUMINIZED/CHEMGLAZE H322 FILM COMPOSITE,Thermal Control,1.43,0,0.17,0.71,1983,Rationale Code B (up to 0.25 sq-in),GSFC12811,APL,4H,176.0,AIR,,,,,,,,,,THERM CONTROL
KAPTON/CHEMGLAZE A276/CAT/FLATTENING AGENT,Thermal Blanket,1.13,0,0.03,0.78,1984,Pass,GSFC13644,GSC,14D,25.0,AIR,,,,,,,,,,THERM BLANKET
KAPTON/DACRON MESH BONDED PROPRIETARY ADHESIVE,Thermal Blanket,0.30,0,0.13,0.30,1983,Rationale Code B (up to 0.25 sq-in),GSFC13219,NMC,,,,,,,,,,,,,THERMAL BLANKET
KAPTON/DACRON MESH/CHEMGLAZE Z202 (BLACK KAPTON),Thermal Blanket,0.53,0,0.06,0.42,1984,Pass,GSFC13783,RCA,,,,,,,,,,,,,THERMAL BLANKET
KAPTON/DACRON MESH/CHEMGLAZE Z202 FILM,Thermal Blanket,0.67,0,0.05,0.53,1984,Pass,GSFC13780,RCA,,,,,,,,,,,,,THERMAL BLANKET
KAPTON/FLUOROCARBON TAPE WIRE INSULATION,Wire Insul,0.21,,0.00,0.21,1972,Pass,GSFC04526,ZZZ,,,,,,,,,,,,,WIRE INSUL
KAPTON/KEVLAR TENSILE FILM PART # MO 1/6/6 LOT 010312039,Blanket,1.94,1,0.08,0.31,2007,Pass,GSFC30265,DUM,,,,,,,,,,,,,BLANKET
KAPTON/KEVLAR TESTILE FILM PART # MO 1/6/6 LOT 010312039,Blanket Material,2.44,1,0.09,0.66,2007,Pass,GSFC30220,DUM,,,,,,,,,,,,,BLANKET MATERIAL
KAPTON/NOMEX MESH COMPOSITE FILM,Thermal Control,1.90,1,0.04,0.31,1982,Pass,GSFC12292,RCA,,,,,,,,,,,,,THERM CONTROL
KARON B SELF LUBE BEARING LINER BROWN,Bearing Liner,1.31,0,0.00,0.57,1986,Pass,GSFC15370,KAM,,,,,,,,,,,,,BEARING LINER
KARON BEARING COMPOSITE - PROPRIETARY,Bearing Material,0.90,,0.00,0.90,1974,Pass,GSFC05729,KAM,,,,,,,,,,,,,BEARING MTL
KARON GP SELF LUBE BEARING LINER BLACK,Bearing Liner,1.47,0,0.00,0.83,1986,Pass,GSFC15372,KAM,,,,,,,,,,,,,BEARING LINER
KARON H SELF LUBE BEARING LINER BROWN,Bearing Liner,1.04,0,0.00,0.56,1986,Pass,GSFC15374,KAM,,,,,,,,,,,,,BEARING LINER
KARON M SELF LUBE BEARING LINER BROWN,Bearing Liner,1.91,0,0.00,1.05,1986,Rationale Code A (up to 2 sq-in),GSFC15376,KAM,,,,,,,,,,,,,BEARING LINER
KARON RP SELF LUBE BEARING LINER GREEN,Bearing Liner,1.06,0,0.00,0.67,1986,Pass,GSFC15378,KAM,,,,,,,,,,,,,BEARING LINER
KARON V SELF LUBE BEARING LINER BROWN,Bearing Liner,1.33,0,0.01,0.66,1986,Pass,GSFC15380,KAM,,,,,,,,,,,,,BEARING LINER
KATHERM 41 SELF LUBE BEARING LINER BROWN,Bearing Liner,0.72,0,0.01,0.40,1986,Pass,GSFC15382,KAM,,,,,,,,,,,,,BEARING LINER
KDI PYROFILM PVC 70 RED RESISTOR COATING MIL-I29092,Coating,1.14,0,0.16,1.08,1983,Rationale Code B (up to 0.25 sq-in),GSFC13198,WEI,,,,,,,,,,,,,COATING
KE 3418 ONE COMPONENT BLACK SILICONE,Adhesive,0.83,0,0.28,0.73,1991,Rationale Code B (up to 0.25 sq-in),GSFC19851,SET,7D,25.0,AIR,,,,,,,,,,ADHESIVE
KEL-F 81 CHLOROFLUOROCARBON,Mold Compound,0.03,,0.01,0.03,1964,Pass,SRI09207,MMM,,,,,,,,,,,,,MOLD CPND
KEL-F 81 CHLOROFLUOROCARBON CLEAR MOLD CPND,Mold Compound,0.02,0,0.01,0.01,1991,Pass,GSFC19637,MMM,,,,,,,,,,,,,MOLD CPND
KEL-F BLUE SCREW INSERT MATERIAL,Mold Compound,0.03,0,0.00,0.02,1992,Pass,GSFC20872,MMM,,,,,,,,,,,,,MOLD CPND
KENDALL TAPE 126 POLYESTER FILM/2 SIDE ACRYLIC ADH/F,Transfer Tape,0.80,0,0.02,0.60,1992,Pass,GSFC20788,KEN,,,,,,,,,,,,,TRANSFER TAPE
KENDALL TAPE 292 FIBERGLASS/SILICONE ADH/S,Tape,2.31,,1.17,2.31,1970,Rationale Code B (up to 0.25 sq-in),GSFC01972,KEN,,,,,,,,,,,,,TAPE
KENDALL TAPE 293 FIBERGLASS/SILICONE ADH/S,Tape,2.79,,0.80,2.79,1970,Rationale Code B (up to 0.25 sq-in),GSFC01975,KEN,,,,,,,,,,,,,TAPE
KENDALL TAPE 294 FIBERGLASS/ACRYLIC ADH/R,Tape,2.06,,0.70,2.06,1972,Rationale Code B (up to 0.25 sq-in),GSFC04021,KEN,,,,,,,,,,,,,TAPE
KENLAM 7725,Bagging Film,0.17,0,0.02,0.14,2011,Pass,GSFC32530,KNF,,,,,,,,,,,,,BAGGING FILM
KENLAM 7725 BAGGING MATERIAL,Bagging,0.22,0,0.03,0.15,2006,Pass,GSFC30010,KNF,,,,,,,,,,,,,BAGGING
KESTER 245 FLUX,Solder Flux,99.75,0,62.20,99.74,1999,Rationale Code B (up to 0.25 sq-in),GSFC26263,LIT,8D,100.0,E-5,,,,,,,,,,SOLDER FLUX
KESTER 9000 ONE COMPONENT ORANGE EPOXY,Adhesive,5.16,0,1.05,4.79,1992,Rationale Code B (up to 0.25 sq-in),GSFC20938,KES,40M,100.0,AIR,,,,,,,,,,ADHESIVE
KEVLAR / KAPTON ALUMINIZED 50 DUN LAMP PB-15,Blanket,2.68,1,0.10,0.73,2007,Pass,GSFC30250,DUM,,,,,,,,,,,,,BLANKET
KEVLAR 120/NARMCO 8517 STRUCTURAL COMPOSITE,Laminate,1.33,0,0.00,0.60,1977,Pass,GSFC08645,TRW,45M,121.0,PSI,2.5H,177.0,PSI,,,,,,,LAMINATE
KEVLAR 149 TAN WOVEN TAPE,Insulation,1.28,0,0.40,0.95,1993,Rationale Code B (up to 0.25 sq-in),GSFC21483,FAB,,,,,,,,,,,,,INSULATION
KEVLAR 29 YELLOW FIBERS,Fibers,3.13,1,0.19,1.37,1979,Rationale Code B (up to 0.25 sq-in),GSFC10119,DUP,,,,,,,,,,,,,FIBERS
KEVLAR 29 YELLOW TIE CORD HEXANE WASHED,Cord,3.90,2,0.02,1.57,1986,Rationale Code A (up to 2 sq-in),GSFC15684,DUP,,,,,,,,,,,,,CORD
KEVLAR 49 COMPOSITE KEVLAR 49 FABRIC/CORLAR 5143 RES,Adhesive Skin,1.68,,0.00,1.68,1974,Rationale Code A (up to 2 sq-in),GSFC05821,DUP,2H,177.0,PSI,,,,,,,,,,ADH SKIN
KEVLAR 49 CORD 380 DENIER,Lacing Cord,3.14,2,0.00,0.56,1998,Pass,GSFC25399,COU,,,,,,,,,,,,,LACING CORD
KEVLAR 49-120LMR/EX1515 TAN LAYUP,Laminate,1.42,0,0.03,0.79,1993,Pass,GSFC21481,BRY,5H,121.0,E-2,,,,,,,,,,LAMINATE
KEVLAR 49/CP 1201,Laminate,1.28,0,0.02,0.47,1978,Pass,GSFC09292,ZZZ,2H,149.0,E-2,,,,,,,,,,LAMINATE
KEVLAR 49/FR 8601 RESIN PRE-PREG,Pre Preg,4.51,0,2.20,3.99,1982,Rationale Code B (up to 0.25 sq-in),GSFC12265,FBC,2H,121.0,E-2,,,,,,,,,,PRE PREG
KEVLAR BRAKE PAD W/ADHESIVE ONE SIDE,Brake Pad,1.68,0,0.02,0.70,1989,Pass,GSFC18094,APD,,,,,,,,,,,,,BRAKE PAD
KEVLAR CABLE B49,Cable,3.28,2,0.07,0.53,2001,Pass,GSFC27769,DUP,,,,,,,,,,,,,CABLE
KEVLAR CORD HEXANE WASH X2,Cord,3.53,2,0.03,1.15,1986,Rationale Code A (up to 2 sq-in),GSFC15906,DUP,,,,,,,,,,,,,CORD
KEVLAR CORD HEXANE WASH X2,Cord,2.67,2,0.01,0.32,1987,Pass,GSFC16020,DUP,24H,125.0,AIR,,,,,,,,,,CORD
KEVLAR CORD POLYURETHANE COATING - YELLOW,Tie Cord,4.33,1,0.78,2.46,1991,Rationale Code B (up to 0.25 sq-in),GSFC19983,GBE,,,,,,,,,,,,,TIE CORD
KEVLAR FABRIC 645 YARN 195,Fabric,1.91,1,0.08,0.76,2000,Pass,GSFC26983,FDI,,,,,,,,,,,,,FABRIC
KEVLAR FIBERS (RAW MATERIAL FOR ROPE GSC28171),Rope,4.93,3,0.14,1.61,2002,Rationale Code B (up to 0.25 sq-in),GSFC28174,DUP,,,,,,,,,,,,,ROPE
KEVLAR KM2 STYLE 705,Meteoroid Shell,2.56,2,0.10,0.17,2003,Pass,GSFC28321,SPP,,,,,,,,,,,,,METEOROID SHELL
KEVLAR KM2 STYLE 705,Meteoroid Shell,2.58,2,0.06,0.02,2003,Pass,GSFC28333,SPP,2H,177.0,AIR,,,,,,,,,,METEOROID SHELL
KEVLAR KM2 STYLE 705,Meteoroid Shell,2.72,2,0.09,0.15,2003,Pass,GSFC28336,SPP,2H,120.0,AIR,,,,,,,,,,METEOROID SHELL
KEVLAR ROPE,Rope,5.17,3,0.32,1.44,2002,Rationale Code B (up to 0.25 sq-in),GSFC28090,DUP,,,,,,,,,,,,,ROPE
KEVLAR ROPE - CLEANED AND BAKED,Rope,3.67,3,0.01,0.44,2003,Pass,GSFC28294,DUP,10H,75.0,AIR,,,,,,,,,,ROPE
KEVLAR ROPE - UNCLEANED,Rope,4.72,3,0.24,1.36,2003,Rationale Code B (up to 0.25 sq-in),GSFC28297,DUP,,,,,,,,,,,,,ROPE
KEVLAR ROPE-/CLEANED IN HEXANE AND BAKED AT 75C/24 HRS,Rope,3.94,3,0.02,0.70,2002,Pass,GSFC28171,DUP,,,,,,,,,,,,,ROPE
KEVLAR SINGLE 100% SILVER PLATED MATERIAL 2018,Shielded Braid,1.23,0,0.01,0.47,2018,Pass,GSFC36171,CIT,,,,,,,,,,,,,SHIELDED BRAID
KEVLAR SINGLE 75% SILVER PLATED MATERIAL 2018,Shielded Braid,0.65,0,0.01,0.24,,Pass,GSFC36174,CIT,,,,,,,,,,,,,SHIELDED BRAID
"KEVLAR TAPE (NEWTEX PN 1200504, DOM: 4/20/2018)",Tapes,2.25,1,0.06,0.59,2019,Pass,GSFC36477,NEX,,,,,,,,,,,,,TAPES
Kevlar Tape Newtex PN 1200504,Miscellaneous,2.25,1,0.06,0.59,2019,Pass,GFC36477,NEX,24H,125.0,4.7x10ø?,,,,,,,,,,MISCELLANEOUS
KEVLAR THREAD NATURAL TEX 120 YELLOW/GOLD,Thread,4.17,2,0.35,2.06,1994,Rationale Code B (up to 0.25 sq-in),GSFC22216,STP,,,,,,,,,,,,,THREAD
KEVLAR/EPOXY MXM 7934/120 KEV 49/RELEASE-ALL 18,Laminate,1.92,1,0.01,0.60,1993,Pass,GSFC21067,FIB,2H,177.0,AIR,,,,,,,,,,LAMINATE
KEVLAR/EPOXY MXM 7934/120 KEV 49/RELEASE-ALL 30,Laminate,1.86,1,0.01,0.60,1993,Pass,GSFC21070,FIB,2H,177.0,AIR,,,,,,,,,,LAMINATE
KF 1006 ACETAL/GLASS AS 70/30,Mold Compound,0.27,,0.01,0.27,1971,Pass,GSFC02913,LNP,,,,,,,,,,,,,MOLD CPND
KFL 4036 ACETAL/30% GLASS/15% TFE,Structural,0.26,,0.02,0.26,1973,Pass,GSFC05519,LNP,,,,,,,,,,,,,STRUCTURAL
KFL 4536 ACETAL/30% GLASS/15% TFE/SILICONE,Structural,0.35,,0.02,0.35,1973,Pass,GSFC05521,LNP,,,,,,,,,,,,,STRUCTURAL
KIMFOL 8 GAUGE POLYCARBONATE,Insulation,0.16,,0.00,0.16,1972,Pass,GSFC03355,KCC,,,,,,,,,,,,,INSULATION
KINEL 5504 GLASS FILLED POLYIMIDE,Structural,1.09,0,0.01,0.55,1984,Pass,GSFC14223,RHO,,,,,,,,,,,,,STRUCTURAL
"KIRKHILL RUBBER SHEET, RED/ORANGE",Conformable Gasket,0.61,0,0.30,0.56,2011,Rationale Code B (up to 0.25 sq-in),GSFC32788,KRC,,,,,,,,,,,,,CONFORMABLE GASKET
"KIRKHILL RUBBER SHEET, RED/ORANGE, BAKED",Conformable Gasket,0.23,0,0.03,0.20,2011,Pass,GSFC32791,KRC,24H,232.0,AIR,,,,,,,,,,CONFORMABLE GASKET
KIRKHILL SILICONE SPONGE RUBBER,Gasket,1.12,,0.30,1.12,1972,Rationale Code B (up to 0.25 sq-in),GSFC03616,KRC,,,,,,,,,,,,,GASKET
KIRKHILL SILICONE SPONGE RUBBER,Gasket,0.23,,0.10,0.23,1972,Pass,GSFC03686,KRC,24H,177.0,AIR,,,,,,,,,,GASKET
KIRKHILL SILICONE SPONGE RUBBER,Gasket,1.50,,0.71,1.50,1972,Rationale Code B (up to 0.25 sq-in),GSFC04318,KRC,,,,,,,,,,,,,GASKET
KIRKHILL SILICONE SPONGE RUBBER,Gasket,1.20,,0.70,1.20,1972,Rationale Code B (up to 0.25 sq-in),GSFC04320,KRC,6H,149.0,E-3,,,,,,,,,,GASKET
KIRKHILL SILICONE SPONGE RUBBER,Gasket,0.12,,0.05,0.12,1972,Pass,GSFC04358,KRC,24H,204.0,AIR,,,,,,,,,,GASKET
"KITG054 LAIRD TAPE, ITEM 777",Tape,1.78,0,0.44,1.15,2012,Rationale Code B (up to 0.25 sq-in),GSFC33307,LRT,,,,,,,,,,,,,TAPE
KJB CYCOLAC BLUE 5500 SERIES W/FIRE RETARDANT,Card Guide,1.06,0,0.30,0.84,1978,Rationale Code B (up to 0.25 sq-in),GSFC09185,BWC,,,,,,,,,,,,,CARD GUIDE
KJB CYCOLAC PINK W/FIRE RETARDANT,Card Guide,0.81,0,0.21,0.58,1978,Rationale Code B (up to 0.25 sq-in),GSFC09188,BWC,,,,,,,,,,,,,CARD GUIDE
"KJR-9022E, LOT 109043, EXPIRES 9/11/12",Adhesive,0.13,0,0.06,0.12,2012,Pass,GSFC33316,SHN,24H,25.0,AIR,24H,125.0,AIR,72H,125.0,E-6,,,,ADHESIVE
"KJR9022E SILICONE, LOT 401046, 10:1",Encapsulant,0.11,0,0.06,0.11,2014,Pass,GSFC35037,SHN,24H,23.0,AIR,24H,125.0,AIR,72H,125.0,E-6,,,,ENCAPSULANT
KL 4540 ACETAL/20% TFE/SILICONE,Structural,0.53,,0.01,0.53,1973,Pass,GSFC05517,LNP,,,,,,,,,,,,,STRUCTURAL
KL-325K (AKA DYNALOY 325); 1/1 A/B PBW,Adhesive,1.99,0,0.50,1.64,2014,Rationale Code B (up to 0.25 sq-in),GSFC35034,KJL,24H,23.0,AIR,25H,75.0,AIR,25H,50.0,E-1,,,,ADHESIVE
KLEEN-STIK DUBL-STIK 2 SIDED TAPE/F,Adhesive Film,13.15,0,3.49,12.52,1974,Rationale Code B (up to 0.25 sq-in),GSFC05936,COM,,,,,,,,,,,,,ADH FILM
KLUBERALFA BHR 53-402 WHITE LUBE GREASE,Lubricant,0.44,0,0.04,0.27,1993,Pass,GSFC21223,KLU,,,,,,,,,,,,,LUBRICANT
KLUBERSYNTH GE 46-1200 POLYGLYCOL GREASE BROWN,Grease,8.24,0,3.53,7.78,1995,Rationale Code B (up to 0.25 sq-in),GSFC22816,KLU,,,,,,,,,,,,,GREASE
KMC-2520L-M1,Adhesives,0.20,0,0.00,0.01,2019,Pass,GFC36486,SHN,24H,126.0,1.4x10ø?,24H,120.0,AIR,,,,,,,ADHESIVES
KMC-2520L-M1 EPOXY MOLDING COMPOUND,Adhesive,0.20,0,0.00,0.01,2019,Pass,GSFC36486,SHN,24H,120.0,AIR,,,,,,,,,,ADHESIVE
KN 80 REINFORCED POLYIMID FILM,Antistatic Film,2.68,0,1.47,2.40,1985,Rationale Code B (up to 0.25 sq-in),GSFC14806,ORC,,,,,,,,,,,,,ANTI STATIC FILM
KODALITH ORTHO FILM TYPE 3,Film,1.08,,0.00,1.08,1974,Rationale Code A (up to 2 sq-in),GSFC05767,EAS,,,,,,,,,,,,,FILM
KODAPAK PET POLYESTER 9921 CLEAR,Mold Compound,0.38,0,0.03,0.22,1990,Pass,GSFC18905,EAC,,,,,,,,,,,,,MOLD CPND
KODAR PCTG COPOLYESTER 5445 CLEAR,Mold Compound,0.33,0,0.02,0.21,1990,Pass,GSFC18907,EAC,,,,,,,,,,,,,MOLD CPND
KODAR PETG COPOLYESTER 6763 CLEAR,Mold Compound,0.35,0,0.02,0.17,1990,Pass,GSFC18909,EAC,,,,,,,,,,,,,MOLD CPND
KOLORANE U-1-6002/9500 PRIMER - GLOSS WHITE ENAMEL,Paint System,2.01,0,0.01,1.60,1981,Rationale Code A (up to 2 sq-in),GSFC12178,KEE,24H,25.0,AIR,,,,,,,,,,PAINT SYSTEM
KONFORM C416 CLEAR SILICONE AEROSOL/F,Conformal Coat,3.44,0,0.79,3.44,1991,Rationale Code B (up to 0.25 sq-in),GSFC19694,CHS,72H,25.0,HUM,,,,,,,,,,CONF COAT
KONFORM C416 CLEAR SILICONE AEROSOL/F,Conformal Coat,2.01,0,0.75,2.01,1991,Rationale Code B (up to 0.25 sq-in),GSFC19697,CHS,24H,75.0,HUM,,,,,,,,,,CONF COAT
KONFORM UR AEROSOL POLYURETHANE COATING/F,Conformal Coat,19.36,0,2.95,19.05,1992,Rationale Code B (up to 0.25 sq-in),GSFC20851,CHS,7D,25.0,AIR,,,,,,,,,,CONF COAT
